image,description,tags
processed_images_roturas\2bed90704ca0e3c0a634609f2ad5c0f0_nobg.png,Jean liso acampanado. Tiro bajo. Dos tonos de azul.,"Tipo jean: liso, acampanado"
processed_images_roturas\d15eb6245a5d144c82e7428d90ee1f76_nobg.png,Jean liso palazzo. Tiro medio. Color celeste.,"Tipo jean: liso, palazzo"
processed_images_roturas\f0869d41c33e953094c055336ab227b8_nobg.png,Jean liso acampanado. Tiro medio. Color celeste.,"Tipo jean: liso, acampanado"
processed_images_roturas\6a1395d13315349f99a355db24598579_nobg.png,Jean liso acampanado. Tiro alto. Color celeste desgastado.,"Tipo jean: liso, acampanado"
processed_images_roturas\ad88f4455187e073f053c134e55ef644_nobg.png,Jean liso acampanado. Tiro alto. Color azul.,"Tipo jean: liso, acampanado"
processed_images_roturas\df460887ca56efe94232f4d322737a04_nobg.png,Jean liso acampanado. Tiro alto. Color azul.,"Tipo jean: liso, acampanado"
processed_images_roturas\541f616fa21f5bc96aea37aa4553752e_nobg.png,Jean liso acampanado. Tiro alto. Color celeste.,"Tipo jean: liso, acampanado"
processed_images_roturas\5a6bec32b779d316c77944bbb590fcce_nobg.png,Jean liso acampanado. Tiro alto. Color azul.,"Tipo jean: liso, acampanado"
processed_images_roturas\49a7fb0eb7a8f7e31a0fb1792e8cfed3_nobg.png,Jean acampanado. Tiro medio. Color celeste claro o blanco.,"Tipo jean: liso, acampanado"
processed_images_roturas\8b469c0c9889653837f0bb011a9e7000_nobg.png,Jean liso acampanado. Tiro medio. Color azul.,"Tipo jean: liso, acampanado"
processed_images_roturas\29cb305a27e64e35a128916f1a3e8195_nobg.png,Jean liso acampanado. Tiro bajo. Color azul desgastado.,"Tipo jean: liso, acampanado"
processed_images_roturas\49b5893f25ffe004eb4b1764bed84590_nobg.png,Jean acampanado con una rotura chica en la pierna derecha. Tiro alto. Color azul.,"Tipo jean: roturas, acampanado"
processed_images_roturas\6dbef95fcbba31d073ef4bf18379319b_nobg.png,Jean liso acampanado. Tiro alto. Color azul desgastado y vintage.,"Tipo jean: liso, acampanado"
processed_images_roturas\cd8562c520a9925d786af41dcc735fcc_nobg.png,Jean acampanado con una rotura en la pierna derecha. Tiro medio. Color azul.,"Tipo jean: roturas, acampanado"
processed_images_roturas\15f1b8cbc8f53d3434fbdd2da1547eec_nobg.png,Jean liso acampanado. Tiro alto. Color azul.,"Tipo jean: liso, acampanado"
processed_images_roturas\4eff728555250d8a837f127471e7fc15_nobg.png,Jean liso acampanado. Tiro bajo. Color negro.,"Tipo jean: liso, acampanado"
processed_images_roturas\003a57bae3ad1494768f0c69c3063457_nobg.png,Jean liso acampanado. Tiro alto. Color negro.,"Tipo jean: liso, acampanado"
processed_images_roturas\d85e97e92b309f9c3c69fb367a861acb_nobg.png,Jean liso acampanado. Tiro bajo. Color gris.,"Tipo jean: liso, acampanado"
processed_images_roturas\2039d40c903d92a21d8f9e6e356ea1ab_nobg.png,Jean liso acampanado. Tiro medio. Color gris.,"Tipo jean: liso, acampanado"
processed_images_roturas\fe0b4804db71696dc1e4c21ea067700f_nobg.png,Jean liso acampanado. Tiro alto. Color blanco.,"Tipo jean: liso, acampanado"
processed_images_roturas\7f3f4b8c1a622039bf162bcba38ed3ea_nobg.png,Jean liso acampanado. Tiro medio. Color blanco.,"Tipo jean: liso, acampanado"
processed_images_roturas\a06cde3a765d269c71115a2a0d7e9116_nobg.png,Jean acampanado con roturas blancas medianas en ambas rodillas. Tiro medio. Color grus.,"Tipo jean: roturas, acampanado"
processed_images_roturas\93a78ba6570bcf58d8ba1690c85d9a24_nobg.png,Jean acampanado con una rotura en la rodilla izquierda. Tiro medio. Color celeste.,"Tipo jean: roturas, acampanado"
processed_images_roturas\f75c1847eb6818f13498d37e342caf8d_nobg.png,Jean acampanado con roturas simetricas en ambas rodillas. Tiro alto. Color azul.,"Tipo jean: roturas, acampanado"
processed_images_roturas\a0092b4b188bb497d86e054f2998e1b6_nobg.png,Jean acampanado con roturas desmechadas simetricas en ambas rodillas. Tiro alto. Color celeste.,"Tipo jean: roturas, acampanado"
processed_images_roturas\0aee681bd12742bd7fb2c17c39e950a7_nobg.png,Jean acampanado con roturas chicas en ambas piernas. Tiro alto. Color azul.,"Tipo jean: roturas, acampanado"
processed_images_roturas\6e1df5b7959666c21e816245a45a48af_nobg.png,Jean acampanado con roturas simetricas en ambas piernas. Tiro alto. Color negro desgastado o gris oscuro.,"Tipo jean: roturas, acampanado"
processed_images_roturas\0543b89a232ddf1fa5f38440f64a083b_nobg.png,Jean acampanado con roturas chicas en ambas piernas. Tiro alto. Color azul.,"Tipo jean: roturas, acampanado"
processed_images_roturas\a170960efe4ab66ab30b808ea39f1183_nobg.png,Jean acampanado con roturas blancas en ambas piernas. Tiro alto. Color azul.,"Tipo jean: roturas, acampanado"
processed_images_roturas\536ac2cedf2f8d8c67d357055c290524_nobg.png,Jean acampanado con roturas blancas en ambas piernas. Tiro alto. Color azul.,"Tipo jean: roturas, acampanado"
processed_images_roturas\ef7d8a6a663c1f00797cd8aac01700d9_nobg.png,Jean acampanado con roturas blancas en ambas piernas. Tiro alto. Color celeste.,"Tipo jean: roturas, acampanado"
processed_images_roturas\26690890637351adc753533add82f44a_nobg.png,Jean acampanado con roturas blancas simetricas en ambas piernas. Tiro alto. Color negro.,"Tipo jean: roturas, acampanado"
processed_images_roturas\60156f8b147c7719b67b7740dba9e421_nobg.png,Jean acampanado con roturas en ambas piernas. Tiro alto. Color negro.,"Tipo jean: roturas, acampanado"
processed_images_roturas\f89e109cc7bb3bcf960e2231994efd87_nobg.png,Jean acampanado con roturas en ambas piernas. Tiro alto. Color negro.,"Tipo jean: roturas, acampanado"
processed_images_roturas\3f36a1bd87aa9913c8dd62f9ff5c3ea3_nobg.png,Jean liso cargo. Tiro alto. Color gris.,"Tipo jean: liso, cargo"
processed_images_roturas\1b6c25ea79762ebe4baba772d4d05fe8_nobg.png,Jean liso cargo. Tiro medio. Color celeste.,"Tipo jean: liso, cargo"
processed_images_roturas\37741fc0d2455766c778953aaec64f2c_nobg.png,Jean liso cargo. Tiro alto. Color negro.,"Tipo jean: liso, cargo"
processed_images_roturas\591211678019dd29125079faaa5f5ba9_nobg.png,Jean liso cargo. Tiro alto. Color celeste.,"Tipo jean: liso, cargo"
processed_images_roturas\b826074f2949b8e4b466ab1f49ab9f66_nobg.png,Jean liso cargo. Tiro alto. Color negro desgastado o gris oscuro.,"Tipo jean: liso, cargo"
processed_images_roturas\c7203cfe2009f1df9ea3653ef6168e06_nobg.png,Jean liso cargo. Tiro alto. Color celeste.,"Tipo jean: liso, cargo"
processed_images_roturas\37805e823bc5f7d6596f45f8d9650696_nobg.png,Jean liso cargo. Tiro alto. Color rosa claro o crema.,"Tipo jean: liso, cargo"
processed_images_roturas\9d753f659d5a05038855be241166ac85_nobg.png,Jean liso cargo. Tiro medio. Color crema.,"Tipo jean: liso, cargo"
processed_images_roturas\3582a267a8f7dc4373cbcc422fb9bca3_nobg.png,Jean liso cargo. Tiro alto. Color azul.,"Tipo jean: liso, cargo"
processed_images_roturas\822efae2d9236b2941c97a4529fb6bd9_nobg.png,Jean liso cargo. Tiro alto. Color gris desgastado.,"Tipo jean: liso, cargo"
processed_images_roturas\9d9d1822cfd81e9e56485adb1d053272_nobg.png,Jean liso cargo. Tiro alto. Color celeste.,"Tipo jean: liso, cargo"
processed_images_roturas\852a63d33f6ec8828fef261c0b54c0d0_nobg.png,Jean liso cargo. Tiro alto. Color azul.,"Tipo jean: liso, cargo"
processed_images_roturas\e5e04971fef9c00c1dc4c8761d98fccd_nobg.png,Jean liso cargo. Tiro medio. Color celeste claro.,"Tipo jean: liso, cargo"
processed_images_roturas\deec009a9d0acd3636076bf8c1268414_nobg.png,Jean liso cargo. Tiro alto. Color violeta.,"Tipo jean: liso, cargo"
processed_images_roturas\e90c17916f86f68340c3592207b62331_nobg.png,Jean liso cargo. Tiro alto. Color negro oscuro.,"Tipo jean: liso, cargo"
processed_images_roturas\3b8158e4247b65496e7dd66bcd4367f8_nobg.png,Jean liso cargo. Tiro alto. Color azul.,"Tipo jean: liso, cargo"
processed_images_roturas\0646f6d42481ec922aa4b13f569a531e_nobg.png,Jean liso cargo. Tiro alto. Color azul claro desgastado.,"Tipo jean: liso, cargo"
processed_images_roturas\1e970a3b1edc0aed4f297a95bf42cddf_nobg.png,Jean liso cargo. Tiro alto. Color verde.,"Tipo jean: liso, cargo"
processed_images_roturas\654864ad3e1667ae8ddaf2d8f4ee6f79_nobg.png,Jean liso cargo. Tiro alto. Color azul oscuro.,"Tipo jean: liso, cargo"
processed_images_roturas\95a5d8bcdcd279d22b28b24b6f0b2c2c_nobg.png,Jean liso cargo. Tiro alto. Color negro oscuro.,"Tipo jean: liso, cargo"
processed_images_roturas\3c04efd8c0d2582d436524477f7215cc_nobg.png,Jean liso cargo. Tiro alto. Color beige claro.,"Tipo jean: liso, cargo"
processed_images_roturas\7804244c60c9db3c229b3d8d82787e2f_nobg.png,Jean liso cargo. Tiro alto. Color celeste.,"Tipo jean: liso, cargo"
processed_images_roturas\dfba7d90fb29b62a5db99c988db449b9_nobg.png,Jean liso cargo. Tiro alto. Color blanco.,"Tipo jean: liso, cargo"
processed_images_roturas\3608fae8c4eccc350aa1bedbbfe0c1d9_nobg.png,Jean liso cargo. Tiro alto. Color gris claro.,"Tipo jean: liso, cargo"
processed_images_roturas\fd464592293e91d5dce2a8b8cd4a688d_nobg.png,Jean liso cargo. Tiro alto. Color gris.,"Tipo jean: liso, cargo"
processed_images_roturas\3c8e326ff2230b4bc324d6aa6a5517ac_nobg.png,Jean cargo con roturas muy chicas en ambas peirnas. Tiro medio. Color celeste.,"Tipo jean: roturas, cargo"
processed_images_roturas\231e60ee689aaa5e6c6463757499be86_nobg.png,Jean cargo con roturas blancas en ambas piernas. Tiro alto. Color gris oscuro.,"Tipo jean: roturas, cargo"
processed_images_roturas\22b23afac6c385f8059fc566bf765a6d_nobg.png,Jean cargo con roturas blancas en ambas piernas. Tiro alto. Color celeste.,"Tipo jean: roturas, cargo"
processed_images_roturas\592506e0c4359139f4ff2db3c30b2eb9_nobg.png,Jean cargo con roturas blancas simetricas en ambas piernas. Tiro alto. Color azul.,"Tipo jean: roturas, cargo"
processed_images_roturas\2ccba91c2f0d21b87e9e2d4ef2652cfd_nobg.png,Jean cargo con varias roturas en cada pierna. Tiro alto. Color negro.,"Tipo jean: roturas, cargo"
processed_images_roturas\0758b2d7d719e8d63736c277345b03e1_nobg.png,jean wide leg con roturas blancas desmechadas en ambas piernas como desgastado. Color azul.,"Tipo jean: roturas, wide leg"
processed_images_roturas\ae75d646f6f450dd4693b837ccb44fc2_nobg.png,jean wide leg con roturas simetricas muy chicas en las rodilla. Tiro alto. Color gris.,"Tipo jean: roturas, wide leg"
processed_images_roturas\c7dd039c7d663985e3935f7b15249a7c_nobg.png,jean wide leg con mas de una rotura en ambas piernas. Tiro alto apretado. Color celeste desgastado.,"Tipo jean: roturas, wide leg"
processed_images_roturas\6179e50858de0f7159515fb51173563f_nobg.png,jean wide leg con muchas roturas blancas desmechadas grandes y bien abiertas en ambas piernas como desgastado extremo. Color celeste.,"Tipo jean: roturas, wide leg"
processed_images_roturas\d88296cad780dea054db1d0eae34ee8a_nobg.png,jean wide leg con muchas roturas desmechadas blancas medianas y bien abiertas en ambas piernas como desgastado. Tiro alto apretado. Color azul o celeste muy fuerte.,"Tipo jean: roturas, wide leg"
processed_images_roturas\f537b3d92d3eba7dfe8cde8777a3f936_nobg.png,jean wide leg con roturas simetricas en ambas piernas. Tiro alto apretado. Color negro liso.,"Tipo jean: roturas, wide leg"
processed_images_roturas\1f2251e7524cf15a7c93ca0b6337c73e_nobg.png,jean wide leg con roturas desmechadas grandes y bien abiertas en ambas piernas. Tiro alto apretado. Color celeste muy claro tirando a gris o blanco.,"Tipo jean: roturas, wide leg"
processed_images_roturas\54c2f784682a150c000f17439e81a3d6_nobg.png,jean wide leg con muchas roturas desmechadas grandes y bien abiertas en ambas piernas como desgastado extremo. Tiro alto apretado. Color celeste.,"Tipo jean: roturas, wide leg"
processed_images_roturas\b2cc9ce50ef9033bf86d561f9e16f862_nobg.png,jean wide leg con roturas desmechadas grandes y bien abiertas en ambas piernas. Tiro alto apretado. Color negro.,"Tipo jean: roturas, wide leg"
processed_images_roturas\5777c9d3ba8d174f8527ab6d467f1292_nobg.png,jean wide leg con varias roturas desmechadas en ambas piernas. Tiro alto apretado. Color celeste claro.,"Tipo jean: roturas, wide leg"
processed_images_roturas\5a18465c945103ef9dd7029cfb966478_nobg.png,jean wide leg con roturas medianas en las rodillas. Tiro alto. Color gris.,"Tipo jean: roturas, wide leg"
processed_images_roturas\b2cc9ce50ef9033bf86d561f9e16f862_nobg.png,jean wide leg con roturas grandes. Tiro alto. Color negro.,"Tipo jean: roturas, wide leg"
processed_images_roturas\e8af7623dd4fdf0e18faeaa24e34ff81_nobg.png,jean wide leg con muchas roturas desmechadas grandes y bien abiertas por ambas piernas como desgastado extremo. Tiro alto. Color azul desgastado o celeste fuerte.,"Tipo jean: roturas, wide leg"
processed_images_roturas\fe3990451568eb962184d0eea1c6c384_nobg.png,jean wide leg con roturas simetricas chicas en ambas piernas. Tiro alto apretado. Color celeste fuerte.,"Tipo jean: roturas, wide leg"
processed_images_roturas\54ad85d2c393c7c2ab6ac1e524a32ae8_nobg.png,jean wide leg con dos roturas en la pierna izquierda y una en la derecha. Tiro alto. Color negro.,"Tipo jean: roturas, wide leg"
processed_images_roturas\0f1705d8d6e9a7a4b27d5edab823e4a1_nobg.png,jean wide leg con roturas medianas simetricas en las rodillas. Tiro alto. Color celeste.,"Tipo jean: roturas, wide leg"
processed_images_roturas\5b698806d9e0868193e5057a2477ac25_nobg.png,jean wide leg con roturas chicas en ambas piernas. Tiro alto apretado. Color negro.,"Tipo jean: roturas, wide leg"
processed_images_roturas\2d21c2e831801da0bbcb556016447fc9_nobg.png,jean wide leg con roturas grandes desmechadas en ambas rodullas. Tiro alto. Color azul desgastado o celeste oscuro..,"Tipo jean: roturas, wide leg"
processed_images_roturas\a6688d68ef3c462fb1f8bed6c5a74f3c_nobg.png,"jean wide leg con roturas desmechadas grandes y bien abiertas en ambas piernas. Tiro alto apretado. Color blanco, crema o beige.","Tipo jean: roturas, wide leg"
processed_images_roturas\6149393f5648e6e2f34d30ca06f14b17_nobg.png,jean wide leg con roturas simetricas en ambas piernas. Tiro alto apretado. Color negro desgastado.,"Tipo jean: roturas, wide leg"
processed_images_roturas\58ca003b82d2ecaa32d9bdc41d1f4875_nobg.png,jean wide leg con muchas roturas desmechadas grandes y bien abiertas por ambas piernas como desgastado extremo. Tiro alto. Color celeste claro.,"Tipo jean: roturas, wide leg"
processed_images_roturas\5f712cad1405f8118bc2bc8a16de06c5_nobg.png,jean wide leg con mas de una rotura en ambas piernas. Tiro alto apretado. Color negro.,"Tipo jean: roturas, wide leg"
processed_images_roturas\da8ff77220fbd27a4f7fb6b5ac9b5397_nobg.png,jean wide leg con roturas simetricas en ambas piernas. Tiro alto apretado. Color azul desgastado o celeste fuerte.,"Tipo jean: roturas, wide leg"
processed_images_roturas\190ea6f38f4cab827beab91ab3d51b36_nobg.png,jean wide leg con roturas desmechadas en ambas piernas. Tiro alto apretado. Color azul.,"Tipo jean: roturas, wide leg"
processed_images_roturas\da3ec02f20e9ccf88b4ae9cc5393974a_nobg.png,jean wide leg con roturas simetricas en ambas piernas. Tiro alto apretado. Color blanco.,"Tipo jean: roturas, wide leg"
processed_images_roturas\ee3b2bfe16677dcf038db60029744da9_nobg.png,jean liso wide leg . Color azul desgastado vintage.,"Tipo jean: liso, wide leg"
processed_images_roturas\b35c977928e54aacfd2200e387231fef_nobg.png,jean liso wide leg .Cintura elastizada y costura vertical negra y blanca en forma de lineas en los laterales del jean. Tiro alto. Color azul.,"Tipo jean: liso, wide leg"
processed_images_roturas\2099b2364845f39879a03d4db54ab9f2_nobg.png,jean liso wide leg . Tiro alto apretado. Color azul.,"Tipo jean: liso, wide leg"
processed_images_roturas\5710bff94a535d1965c128a10e1d1c34_nobg.png,jean liso wide leg . Tiro alto apretado. Color celeste claro.,"Tipo jean: liso, wide leg"
processed_images_roturas\22ead5b01b4dce7e94c765a9828d447b_nobg.png,jean liso wide leg . Tiene flores como decoracion y hojas distribuidas simétricamente a lo largo de ambas piernas. Tiro alto apretado. Color celeste claro.,"Tipo jean: liso, wide leg"
processed_images_roturas\e2496dd9042f147b056356f40afb3aa0_nobg.png,jean liso wide leg . Estampado de maruposas negro. Tiro alto. Color celeste.,"Tipo jean: liso, wide leg"
processed_images_roturas\6e8ebfd94d6492ed8ea57517e590a9f0_nobg.png,jean liso wide leg . Tiro alto. Color celeste claro desgastado.,"Tipo jean: liso, wide leg"
processed_images_roturas\4eda1700415edd3b7b446fad4840da49_nobg.png,jean liso wide leg . Tiene un cinturon de jean. Tiro alto. Color celeste.,"Tipo jean: liso, wide leg"
processed_images_roturas\0d92330f7e97c78e49bdf4876e9a7b6d_nobg.png,jean liso wide leg . Tiro alto apretado. Color azul desgastado vintage.,"Tipo jean: liso, wide leg"
processed_images_roturas\87924cba8be26b19f4c57f0361a5eac0_nobg.png,"jean liso wide leg . El estampado parece ser un lavado ácido o técnica de decoloración sobre el jean, formando motivos florales a lo largo de ambas piernas. Tiro alto apretado. Color azul y blanco.","Tipo jean: liso, wide leg"
processed_images_roturas\7de2b54b54a9ebaca9d5e014ebdcf9c7_nobg.png,jean liso wide leg o baggy . Tiro bajo. Color gris destenido vintage.,"Tipo jean: liso, wide leg"
processed_images_roturas\f74ec1e109d30c48cb630d226288b034_nobg.png,jean liso wide leg . Tiro alto apretado. Color azul.,"Tipo jean: liso, wide leg"
processed_images_roturas\db077ce5563f60100c4a3b44c13091a1_nobg.png,jean liso wide leg . Color gris desgastado.,"Tipo jean: liso, wide leg"
processed_images_roturas\b3728f7e967cf69f2979b56dfd5e21c2_nobg.png,"jean liso wide leg . El estampado parece ser un lavado ácido o técnica de decoloración sobre el jean, formando motivos florales a lo largo de ambas piernas. Tiro alto apretado. Color gris.","Tipo jean: liso, wide leg"
processed_images_roturas\212cdcd7d8dc976aafe18a10963d41f8_nobg.png,jean liso wide leg . Tiro alto apretado. Color blanco.,"Tipo jean: liso, wide leg"
processed_images_roturas\19cfdb372810240bb989bd2fecc7760b_nobg.png,jean liso wide leg . Tiro alto apretado. Color celeste claro vintage.,"Tipo jean: liso, wide leg"
processed_images_roturas\f4c70cc8620165e6ceee370c6a9ba7a5_nobg.png,jean liso wide leg tipo cargo . Tiro alto. Color gris claro.,"Tipo jean: liso, wide leg"
processed_images_roturas\29ce8b2cfca3ecc4bd7dc1118624c7e8_nobg.png,jean liso wide leg tipo cargo . Cintura elastizada. Tiro medio. Color azul.,"Tipo jean: liso, wide leg"
processed_images_roturas\8eb96cc2f1be4d7fdd7756369ad29371_nobg.png,jean liso wide leg . Tiene varios botones. Tiro alto apretado. Color gris.,"Tipo jean: liso, wide leg"
processed_images_roturas\fbb87f893f2b0e92af0fb69c615d6986_nobg.png,jean liso wide leg tipo cargo . Tiro alto apretado. Color azul.,"Tipo jean: liso, wide leg"
processed_images_roturas\dd0f8ab1b15a1178790f4e307cd96fff_nobg.png,"jean liso wide leg . Variso tipos de estampados, color rojo de letras y azul de peces. Tiro alto. Color azul.","Tipo jean: liso, wide leg"
processed_images_roturas\f858d75a1ce9fe77f9c3f97cd7ee7c0c_nobg.png,jean liso wide leg . Tiro alto apretado. Color celeste desgastado.,"Tipo jean: liso, wide leg"
processed_images_roturas\faa6a05bb1f10de4b43a71265e7be1f5_nobg.png,jean liso wide leg tipo cargo . Tiene una cintura elastizada con cordon ajustable. Tiro alto. Color celeste vintage.,"Tipo jean: liso, wide leg"
processed_images_roturas\56486d1d677b25fe7d3390f01c35b6cf_nobg.png,jean liso wide leg . Costuras visibles verticales que recorren las piernas y bolsillos tipo cargo. Tiro alto apretado. Color gris destenido.,"Tipo jean: liso, wide leg"
processed_images_roturas\63d31b527b7ee2ad4ab3e1a9e3997df6_nobg.png,jean liso wide leg . Estampado de estrellas en la parte inferior. Tiro alto. Color gris.,"Tipo jean: liso, wide leg"
processed_images_roturas\06934a8465230b1ed689de9340dfa461_nobg.png,Jean cargo con roturas blancas en ambas piernas. Tiro medio. Color azul.,"Tipo jean: roturas, cargo"
processed_images_roturas\d5b69ee49fc8228b1984cb05aaf28593_nobg.png,Jean cargo con muchas roturas blancas desmechadas en ambas piernas. Tiro alto. Color azul desgastado.,"Tipo jean: roturas, cargo"
processed_images_roturas\7eddbcfe725ed179fdfe7b029263c997_nobg.png,Jean cargo con muchas roturas en ambas piernas. Tiro alto. Color negro.,"Tipo jean: roturas, cargo"
processed_images_roturas\d5b69ee49fc8228b1984cb05aaf28593_nobg.png,Jean cargo con muchas roturas blancas en ambas piernas. Tiro alto. Color azul.,"Tipo jean: roturas, cargo"
processed_images_roturas\e20b1bb2b9fe4f79e7adb9fcb64358c6_nobg.png,Jean cargo con roturas en ambas piernas. Tiro alto. Color negro desgastado o gris.,"Tipo jean: roturas, cargo"
processed_images_roturas\f47328555c0b2ad0fc028efed3afdaa5_nobg.png,Jean cargo con roturas simetricas. Tiro medio. Color azul viejo.,"Tipo jean: roturas, cargo"
processed_images_roturas\4938fff1855fe279bd04e0dafaca1621_nobg.png,Jean cargo con muchas roturas en ambas piernas. Tiro alto. Color azul viejo.,"Tipo jean: roturas, cargo"
processed_images_roturas\791fe5c627ee0c8b7dceb00c843c63a7_nobg.png,Jean cargo con roturas blancas. Tiro alto. Color azul.,"Tipo jean: roturas, cargo"
processed_images_roturas\eb63aaa2d1361f567c6a0bbd725db62c_nobg.png,Jean cargo con roturas blancas chicas. Tiro alto. Color azul.,"Tipo jean: roturas, cargo"
processed_images_roturas\96ad58a4dc60040dfc4e1d847222e86b_nobg.png,Jean cargo con roturas medianas en ambas rodillas. Tiro alto. Color azul claro.,"Tipo jean: roturas, cargo"
processed_images_roturas\46ac35c1645691caf5d4c6deabde788c_nobg.png,Jean liso palazzo. Tiro medio. Color celeste.,"Tipo jean: liso, palazzo"
processed_images_roturas\3b3e2c524c6ad31601430070e5b1e293_nobg.png,Jean liso palazzo. Tiro alto. Color azul.,"Tipo jean: liso, palazzo"
processed_images_roturas\952921b94871b195ba9146e6cfc9de79_nobg.png,Jean liso palazzo. Tiro alto. Color azul petroleo.,"Tipo jean: liso, palazzo"
processed_images_roturas\d9d5bafb25271b92768ca1a6a8860448_nobg.png,Jean liso palazzo. Tiro alto. Color azul viejo.,"Tipo jean: liso, palazzo"
processed_images_roturas\dda8d91a7149a79b05b22974ce476349_nobg.png,Jean liso palazzo. Tiro medio. Color azul.,"Tipo jean: liso, palazzo"
processed_images_roturas\9d088aa9b871f9ffd637ad637c3fe891_nobg.png,Jean liso palazzo. Tiro alto. Color celeste.,"Tipo jean: liso, palazzo"
processed_images_roturas\c16082d7ec7b34659b5680e581402412_nobg.png,Jean liso palazzo. Tiro medio. Color celeste.,"Tipo jean: liso, palazzo"
processed_images_roturas\96daecbac3f5dc769ca7f9db3bd5ac96_nobg.png,Jean liso palazzo. Tiro alto. Color celeste oscuro.,"Tipo jean: liso, palazzo"
processed_images_roturas\8264e43edf34666c203bbb64b1c9db99_nobg.png,Jean liso palazzo. Tiro alto. Color azul.,"Tipo jean: liso, palazzo"
processed_images_roturas\67fb8f5c14485d4106c91a550cb9fe1d_nobg.png,Jean liso palazzo. Tiro alto. Color azul oscuro.,"Tipo jean: liso, palazzo"
processed_images_roturas\db4d1cccc3e11d1a6cfa520882263115_nobg.png,Jean liso palazzo. Tiro medio. Color celeste.,"Tipo jean: liso, palazzo"
processed_images_roturas\53c9160363e9162b35e8a4c28f50c6b1_nobg.png,Jean liso palazzo. Tiro alto. Color negro.,"Tipo jean: liso, palazzo"
processed_images_roturas\790befff1a7257371bb6db7377555d99_nobg.png,Jean liso palazzo. Tiro alto. Color azul.,"Tipo jean: liso, palazzo"
processed_images_roturas\6c096e50df4de6d322976a9a0ca60e19_nobg.png,Jean liso palazzo. Tiro alto. Color azul.,"Tipo jean: liso, palazzo"
processed_images_roturas\55a714a6ad2bdb37b7682d9bc85c8c22_nobg.png,Jean liso mom. Tiro alto. Color azul.,"Tipo jean: liso, mom"
processed_images_roturas\621f208d46356be5919ba933d3479477_nobg.png,Jean liso mom. Tiro alto. Color azul.,"Tipo jean: liso, mom"
processed_images_roturas\cb194b2f33a4300172070cbdcab52f70_nobg.png,Jean liso mom. Tiro alto. Color azul claro o celeste oscuro.,"Tipo jean: liso, mom"
processed_images_roturas\b370a05085bf82ff62d15646b77962c2_nobg.png,Jean liso mom. Tiro alto. Color azul.,"Tipo jean: liso, mom"
processed_images_roturas\7d133e54ae35164012786d26e4f8c438_nobg.png,Jean liso mom. Tiro alto. Colro celeste oscuro.,"Tipo jean: liso, mom"
processed_images_roturas\baf1c0aedef70fd0b0339a8ff3a4a6e4_nobg.png,Jean liso mom. Tiro alto. Color azul viejo.,"Tipo jean: liso, mom"
processed_images_roturas\6c7619601deb7e72b5453e18f4560f99_nobg.png,Jean liso mom. Tiro alto. Color celeste oscuro.,"Tipo jean: liso, mom"
processed_images_roturas\b149b9b17c50f6951d2ab8bf01b2e4a6_nobg.png,Jean liso mom. Tiro alto. Color celeste.,"Tipo jean: liso, mom"
processed_images_roturas\0fb711bc937b91371a96368e9de5a0f1_nobg.png,Jean liso mom. Tiro alto. Color azul.,"Tipo jean: liso, mom"
processed_images_roturas\353000bbf243ebce9d2b314a34af4944_nobg.png,Jean liso mom. Tiro alto. Color azul claro.,"Tipo jean: liso, mom"
processed_images_roturas\296c20893a50bbce35848d6a75a307b1_nobg.png,Jean liso mom. Tiro alto. Color azul.,"Tipo jean: liso, mom"
processed_images_roturas\62c65a225b7ff13846bec7ce08b07642_nobg.png,Jean liso mom. Tiro alto. Color azul.,"Tipo jean: liso, mom"
processed_images_roturas\a7794d7a8244949dd74f37f526a09bd2_nobg.png,Jean liso mom. Tiro alto. Color azul.,"Tipo jean: liso, mom"
processed_images_roturas\1752c4654d05a730e1acb360fb46f34b_nobg.png,Jean liso mom. Tiro alto. Color celeste.,"Tipo jean: liso, mom"
processed_images_roturas\b47602c1ef7f38d08102ba74d5caedd5_nobg.png,Jean liso mom. Tiro alto. Color celeste.,"Tipo jean: liso, mom"
processed_images_roturas\c9bcaa1cb7d70ce1377b6902703562af_nobg.png,Jean liso mom. Tiro alto. Color azul.,"Tipo jean: liso, mom"
processed_images_roturas\7735d3c9e00fb34f7b0c333864d02a16_nobg.png,Jean liso mom. Tiro alto. Color azul.,"Tipo jean: liso, mom"
processed_images_roturas\932d4019f9ed1ed7895d343ed7b0831c_nobg.png,Jean liso mom. Tiro alto. Color gris.,"Tipo jean: liso, mom"
processed_images_roturas\f304ad373926161c8f0f43a8168ff3e6_nobg.png,Jean liso mom. Tiro alto. Color azul.,"Tipo jean: liso, mom"
processed_images_roturas\6cc9c2627442b50207b36f6324df80d3_nobg.png,Jean liso mom. Tiro alto. Color celeste.,"Tipo jean: liso, mom"
processed_images_roturas\337493978b88b6fd77b61e754d208004_nobg.png,Jean liso mom. Tiro alto. Color celeste.,"Tipo jean: liso, mom"
processed_images_roturas\b2e2c0a47273fe72c29f3214562e13fb_nobg.png,Jean liso mom. Tiro alto. Color negro.,"Tipo jean: liso, mom"
processed_images_roturas\e6a62d8c822901b2ebcad8680d3d2be8_nobg.png,Jean liso mom. Tiro alto. Color negro.,"Tipo jean: liso, mom"
processed_images_roturas\fe6074113cd0e54476ac8c177bca0f55_nobg.png,Jean liso mom. Tiro alto. Color blanco.,"Tipo jean: liso, mom"
